======================================================================
  MEV INSURANCE — ECONOMIC REPORT
  2026-05-12 11:44:28
======================================================================

──────────────────────────────────────────────────────────────────────
  EVOLUZIONE POOL (ogni 2 min)
──────────────────────────────────────────────────────────────────────
       Ora         MEVI Pool        ETH Pool
  01:20:19           44.3671        4.964000
  01:22:19           49.0961        4.964000
  01:24:19           44.0233        4.910000
  01:26:19           47.5003        4.892000
  01:28:19           48.9863        4.874000
  01:30:19           50.5602        4.856000
  01:32:19           52.5333        4.838000
  01:34:19           51.7834        4.802000
  01:36:19           47.6269        4.748000
  01:38:19           47.6137        4.712000
  01:40:19           39.9202        4.676000
  01:42:19           39.7074        4.640000
  01:44:19           40.2084        4.604000
  01:46:19           40.9952        4.586000
  01:48:19           42.3194        4.568000
  01:50:19           42.8409        4.550000
  01:52:19           43.6280        4.550000
  01:54:20           43.7771        4.514000
  01:56:20           48.2173        4.514000
  01:58:20           47.0643        4.478000
  02:00:20           45.3522        4.442000
  02:02:20           49.9733        4.442000
  02:04:20           54.6392        4.442000
  02:06:20           53.8709        4.406000
  02:08:20           56.3670        4.388000
  02:10:20           57.0994        4.352000
  02:12:20           56.4241        4.316000
  02:14:20           56.6477        4.280000
  02:16:20           57.6669        4.244000
  02:18:20           62.0711        4.244000
  02:20:20           66.7781        4.244000
  02:22:20           67.3310        4.226000
  02:24:20           59.1026        4.136000
  02:26:20           58.9276        4.118000
  02:28:20           46.8857        4.064000
  02:30:20           43.6646        4.010000
  02:32:20           45.3821        3.992000
  02:34:20           46.6310        3.974000
  02:36:20           47.6146        3.938000
  02:38:20           44.6066        3.902000
  02:40:20           46.8418        3.884000
  02:42:20           47.8222        3.848000
  02:44:20           49.7606        3.834000
  02:46:20           40.4728        3.794000
  02:48:20           38.8344        3.740000
  02:50:20           29.8625        3.686000
  02:52:20           20.8285        3.632000
  02:54:20           21.4198        3.596000
  02:56:20           26.3706        3.596000
  02:58:20           20.4946        3.542000
  03:00:20           12.1979        3.488000
  03:02:20           11.9131        3.470000
  03:04:21           12.2610        3.434000
  03:06:21           13.5725        3.398000
  03:08:21            7.9519        3.362000
  03:10:21            2.5041        3.290000
  03:12:21            6.9715        3.274000
  03:14:21            9.5461        3.256000
  03:16:21            6.1198        3.202000
  03:18:21            4.6692        3.166000
  03:20:21            5.5773        3.132000
  03:22:21            9.6072        3.132000
  03:24:21           11.0909        3.114000
  03:26:21            6.7304        3.060000
  03:28:21            6.2981        3.024000
  03:30:21            4.2038        2.988000
  03:32:21            0.1868        2.916000
  03:34:21            1.8552        2.866000
  03:36:21            2.8693        2.834000
  03:38:21            3.9857        2.818000
  03:40:21            5.4415        2.800000
  03:42:21            6.2410        2.764000
  03:44:21            9.1380        2.746000
  03:46:21           14.1159        2.746000
  03:48:21           16.4750        2.728000
  03:50:21           21.9365        2.728000
  03:52:21           21.9666        2.678000
  03:54:21           17.3781        2.610000
  03:56:21            8.1185        2.584000
  03:58:21           10.5512        2.548000
  04:00:21           14.1062        2.530000
  04:02:21           15.3209        2.512000
  04:04:21           13.0287        2.458000
  04:06:21           11.2409        2.404000
  04:08:21           14.7909        2.386000
  04:10:21           13.6309        2.350000
  04:12:22           14.3427        2.314000
  04:14:22           13.9710        2.278000
  04:16:22           20.0768        2.278000
  04:18:22           18.4450        2.224000
  04:20:22           23.0931        2.224000
  04:22:22           23.6326        2.206000
  04:24:22           20.0329        2.152000
  04:26:22           22.4446        2.134000
  04:28:22           12.2759        2.044000
  04:30:22            8.4602        2.008000
  04:32:22            7.2180        6.990000
  04:34:22            3.8118        6.936000
  04:36:22            2.6879        6.884000
  04:38:22            4.3418        6.866000
  04:40:22            4.1284        6.830000
  04:42:22            4.1650        6.794000
  04:44:22            3.9506        6.758000
  04:46:22            6.0594        6.724000
  04:48:22           10.6672        6.724000
  04:50:22            8.3440        6.670000
  04:52:22           12.2133        6.652000
  04:54:22            8.7956        6.598000
  04:56:22            9.2580        6.562000
  04:58:22            4.0241        6.456000
  05:00:22            4.3753        6.420000
  05:02:22            6.2681        6.386000
  05:04:22            6.4439        6.350000
  05:06:22            7.6301        6.304000
  05:08:22            1.4662        6.246000
  05:10:22            2.4550        6.212000
  05:12:22            3.1939        6.194000
  05:14:23            6.6737        6.178000
  05:16:23            3.4215        6.124000
  05:18:23            4.6183        6.124000
  05:20:23            2.9622        6.088000
  05:22:23            4.6564        6.036000
  05:24:23            5.4888        6.004000
  05:26:23            4.7039        5.982000
  05:28:23            7.1040        5.948000
  05:30:23            9.5776        5.930000
  05:32:23           14.3811        5.930000
  05:34:23           12.6155        5.876000
  05:36:23           19.3954        5.876000
  05:38:23           12.9597        5.822000
  05:40:23           12.2226        5.786000
  05:42:23           10.5351        5.750000
  05:44:23           12.6078        5.732000
  05:46:23           14.0874        5.696000
  05:48:23           14.2295        5.660000
  05:50:23           16.3197        5.624000
  05:52:23           17.6776        5.588000
  05:54:23           14.5131        5.534000
  05:56:23           12.9152        5.498000
  05:58:23           14.9242        5.480000
  06:00:23           11.3670        5.444000
  06:02:23           17.0001        5.444000
  06:04:23           17.7439        5.426000
  06:06:23           21.3422        5.408000
  06:08:23           20.3175        5.372000
  06:10:23           14.3301        5.318000
  06:12:23           11.6309        5.300000
  06:14:23            4.4987        5.232000
  06:16:23            3.6530        5.194000
  06:18:23            5.7749        5.176000
  06:20:25            6.9585        5.124000
  06:22:25           10.4370        5.124000
  06:24:25           13.0453        5.106000
  06:26:25           17.0174        5.088000
  06:28:25           15.3339        5.052000
  06:30:25           20.6340        5.034000
  06:32:25           25.8485        4.998000
  06:34:25           31.3067        4.944000
  06:36:25           36.7918        4.908000
  06:38:25           41.6191        4.854000
  06:40:25           46.8749        4.800000
  06:42:25           52.8181        4.800000
  06:44:25           57.9935        4.800000
  06:46:25           64.1260        4.782000
  06:48:25           69.0942        4.764000
  06:50:25           65.7171        4.728000
  06:52:25           70.8573        4.728000
  06:54:25           60.2690        4.638000
  06:56:25           50.2828        4.602000
  06:58:25           54.1515        4.584000
  07:00:25           47.8634        4.566000
  07:02:25           47.4416        4.512000
  07:04:25           50.8991        4.494000
  07:06:25           52.8048        4.476000
  07:08:25           53.7664        4.476000
  07:10:25           48.9678        4.422000
  07:12:25           52.2974        4.404000
  07:14:25           53.7293        4.368000
  07:16:25           57.7661        4.350000
  07:18:25           60.8718        4.332000
  07:20:26           62.8232        4.314000
  07:22:26           58.4752        4.260000
  07:24:26           50.0508        4.206000
  07:26:26           50.1071        4.170000
  07:28:26           55.0825        4.170000
  07:30:26           52.8739        4.134000
  07:32:26           58.2301        4.134000
  07:34:26           54.7098        4.080000
  07:36:26           54.9354        4.044000
  07:38:26           53.5545        4.008000
  07:40:26           51.1921        3.972000
  07:42:26           47.5546        3.936000
  07:44:26           42.7579        3.882000
  07:46:26           40.9828        3.846000
